ID,Official Name,Common Name,Status,Type,Class,Address,Area (m²),Longitude,Latitude,Multipolygon
1257,,High Park School Park,Active,Park,School and Community Park,11031 154 Street NW,17859,-113.5863993161708,53.55693296232869,"MULTIPOLYGON (((-113.58571465279458 53.5564198957511, -113.58571488218044 53.55679235732425, -113.58571509638288 53.55716482690895, -113.58571532575051 53.55753728753698, -113.58571549174583 53.557815820416785, -113.58708409831148 53.55781849853751, -113.58708411531276 53.55753915756949, -113.58708413046966 53.55716669780714, -113.58708414703048 53.55679424701239, -113.58708417876053 53.55642178636225, -113.58708418077549 53.556359425617394, -113.58708419377676 53.55604933551574, -113.58571443856485 53.55604742611986, -113.58571461523202 53.55635468631714, -113.58571465279458 53.5564198957511)))"
578,Lansdowne Park,,Active,Park,School and Community Park,4915 124 Street NW,61381,-113.54451221545634,53.48647373485527,"MULTIPOLYGON (((-113.54237559013183 53.485675364144406, -113.54301833106449 53.485675794290486, -113.54301323818041 53.48813790174779, -113.54431640261723 53.48805138359789, -113.54588199491573 53.48805027546945, -113.54597373822985 53.48799546747206, -113.54597281047502 53.487624229401746, -113.54597811997937 53.487540848003846, -113.54599435499127 53.48745797088809, -113.54602141661667 53.48737610538777, -113.5460591382156 53.4872957540831, -113.5461072884652 53.48721741031986, -113.5461655713997 53.487141554615526, -113.54622769551052 53.48707450723976, -113.54629773829075 53.4870102953434, -113.54637533607631 53.486949251814515, -113.54646008772824 53.486891692324846, -113.54652299504491 53.48685185401198, -113.54664884078086 53.48677219447828, -113.54664486151755 53.48669478140655, -113.54329513544728 53.48480956796275, -113.54316531649833 53.484811811690776, -113.54303925766216 53.48489146676919, -113.54279635050918 53.485044970807344, -113.54271155935082 53.48510328329725, -113.54263525942196 53.485165628823246, -113.54256798578392 53.4852315682327, -113.54251021199227 53.48530063877293, -113.54246234558593 53.485372353174895, -113.5424247219728 53.48544620771667, -113.54239760743158 53.48552168313326, -113.54238119153888 53.485598248181496, -113.54237559013183 53.485675364144406)))"
3355,,Donsdale Park 1,Active,Park,Pocket Park,,8783,-113.63966339007715,53.48255280507974,"MULTIPOLYGON (((-113.63998087412918 53.48212881610836, -113.63967696944295 53.48209658837711, -113.6392016855856 53.48204302824173, -113.63907599260577 53.48205546823994, -113.63907402119347 53.482378089469115, -113.63907362834627 53.48243200729874, -113.63907232033971 53.48256073485139, -113.63891993528405 53.482755199137564, -113.63922379885611 53.482921852819125, -113.63931882400689 53.48306048888446, -113.63967843333671 53.483061162900086, -113.63998184005082 53.483061738440355, -113.64031600899287 53.48306258191775, -113.64031571680732 53.482963189012104, -113.64023121165664 53.482962897826695, -113.64023359941045 53.482518806211154, -113.64040603780961 53.48251926045024, -113.64040684487026 53.48212131461812, -113.63998087412918 53.48212881610836)))"
1225,,Inglewood School Park,Active,Park,School and Community Park,12525 116 Avenue NW,31889,-113.53944157002724,53.56604630350749,"MULTIPOLYGON (((-113.53785820262223 53.56611922609299, -113.53785826035006 53.56669009898424, -113.53792726016823 53.56673112853522, -113.53960626135556 53.56673012670604, -113.54095545976608 53.566729288336724, -113.54102447955685 53.56668816833525, -113.54102505050196 53.56540249895053, -113.54095607993973 53.565361478479765, -113.5379270800048 53.56536358860546, -113.5378580895525 53.56540470874091, -113.53785820262223 53.56611922609299)))"
953,,St. Vladimir School Park,Active,Park,School and Community Park,,22399,-113.45670258996611,53.59307092993244,"MULTIPOLYGON (((-113.45625785034954 53.59234872327534, -113.45573855067673 53.59234955959467, -113.45564625519654 53.592404476165065, -113.45564013308281 53.59374075487487, -113.45573194664969 53.593795377581685, -113.45623928737956 53.593794559697585, -113.45767398956923 53.59379223477839, -113.45776504684942 53.59373732003092, -113.45774068162213 53.592401091000404, -113.45764309250391 53.5923464822832, -113.45625785034954 53.59234872327534)))"
3124,,Old Scona School Park,Active,Park,School and Community Park,10523 84 Avenue NW,7251,-113.50196193560558,53.51975596332049,"MULTIPOLYGON (((-113.50332246022198 53.5199393483127, -113.50332472055854 53.51957797856548, -113.50318209506554 53.51957769782548, -113.50303024792046 53.519577404645474, -113.5028784008839 53.51957710228702, -113.50272653877333 53.519576799673025, -113.50257469174359 53.51957649692887, -113.50242284610917 53.51957620388233, -113.50227098250102 53.51957590068344, -113.5021191369892 53.51957559736702, -113.50196728997304 53.51957529385151, -113.50181542777746 53.5195749990659, -113.50166358076808 53.519574695164664, -113.50151173376211 53.5195743910706, -113.50135987168217 53.5195740867208, -113.50120802457751 53.519573791226605, -113.50105617758176 53.519573486554016, -113.50090431246488 53.51957318430869, -113.5007524609105 53.51957288282572, -113.5006005792364 53.51957257832828, -113.5005991506526 53.51993253803725, -113.50075114573431 53.519932924780605, -113.50090311824599 53.519933307642106, -113.50105508934891 53.519933682217115, -113.50120707238057 53.51993406833058, -113.50135904044421 53.51993444520236, -113.50151100841687 53.51993482996803, -113.50166299156596 53.519935206516365, -113.50181495953603 53.51993559179431, -113.50196692761548 53.51993596789349, -113.50211891067107 53.51993635284792, -113.50227087876894 53.51993672766223, -113.50242284675494 53.51993711216755, -113.50257482982246 53.519937496542454, -113.50272679942941 53.51993787168214, -113.50287876743785 53.51993825470946, -113.50303075062249 53.51993862951924, -113.50318271862834 53.519939013058796, -113.50332246022198 53.5199393483127)))"
769,Kenilworth Park,,Active,Park,School and Community Park,7104 87 Avenue NW,74507,-113.43531798875324,53.52314978105028,"MULTIPOLYGON (((-113.43682228877685 53.523358358918, -113.43684844405912 53.52334677595977, -113.43687708530587 53.52333751502149, -113.4369076370432 53.52333076120003, -113.43693948522605 53.523326651785, -113.43697198940777 53.5233252682286, -113.4381773137961 53.523324858742264, -113.43826971649935 53.523270042955836, -113.43826920534966 53.52215880916179, -113.43817727047849 53.52210403037448, -113.43526517827323 53.5221040485523, -113.43393264123607 53.52210405106286, -113.4338407550703 53.52215880036219, -113.43384099961736 53.52271451890834, -113.43302307336445 53.522714516188785, -113.43245754785876 53.52271450295501, -113.43236626100715 53.52276929889756, -113.43238153981429 53.524139794473875, -113.43247406216406 53.524194617336875, -113.43300330722462 53.52419474057727, -113.43665068521 53.52419553172607, -113.43674256931031 53.52414077038979, -113.43674226849757 53.523462308423284, -113.43674559476527 53.52343902681682, -113.43675551539934 53.52341642147358, -113.43677174117879 53.52339515060683, -113.43678595923673 53.52338165670729, -113.436802897253 53.52336932853005, -113.43682228877685 53.523358358918)))"
3,LITTLE MOUNTAIN,LM,Active,Cemetery,Other Land Type,106 AVENUE & 50 STREET EDMONTON ALBERTA,20189,-113.41696573029125,53.62199265320574,"MULTIPOLYGON (((-113.41804054186842 53.62204356537991, -113.41804075485788 53.621354298117296, -113.41791607728528 53.621354068383184, -113.41589091539531 53.621354200593025, -113.41589070572464 53.62262791180431, -113.41637810010593 53.62262866907212, -113.41660628368341 53.62262902302012, -113.41705138594455 53.622629712490465, -113.41730054407826 53.62263009717261, -113.41804040074823 53.62263123802829, -113.41804054186842 53.62204356537991)))"
242,,Skyratter Park 1,Active,Park,Urban Village Park,,40914,-113.52333063945298,53.4507907932807,"MULTIPOLYGON (((-113.52161357005504 53.44983824832286, -113.521424039276 53.450228399007514, -113.52133072863678 53.45073687800015, -113.52133040121545 53.45096281700723, -113.52133012598935 53.45114903388315, -113.52132992603616 53.45127499988835, -113.52132974273911 53.45140095697148, -113.52132948801422 53.45156526570888, -113.52132934023606 53.45165941109788, -113.52132920969673 53.451742918763365, -113.52198208944611 53.45174333823854, -113.52204117382887 53.451740519327494, -113.5220987273027 53.45173205905628, -113.52215324947863 53.45171817877569, -113.52218478606824 53.45171001788417, -113.52221801224348 53.451704760871934, -113.52225218148509 53.451702527862594, -113.52228652551136 53.45170336610588, -113.52232027374613 53.451707259041605, -113.5223526699673 53.451714118278666, -113.52243441325622 53.45166383331489, -113.52281581872776 53.45142920869663, -113.52297181901105 53.45142931854121, -113.52533206920921 53.45143070858634, -113.52533191986167 53.4514033281298, -113.52533161853445 53.45134947840027, -113.52532521617307 53.451251584037216, -113.52530710359378 53.451154213766685, -113.52527737317102 53.45105786578239, -113.52523617753852 53.450963034021065, -113.5251837266366 53.45087020275938, -113.52512029221646 53.45077984753075, -113.52504619583598 53.450692431483525, -113.5249618179203 53.45060840272159, -113.52486759178943 53.45052818978806, -113.52476399760596 53.45045220433763, -113.52465156696046 53.450380834865086, -113.52453087533455 53.45031444757444, -113.52440254215087 53.45025338188685, -113.52426722174152 53.45019795040515, -113.52412560789449 53.45014843623674, -113.52397842481265 53.45010509385683, -113.52382642867019 53.45006814462197, -113.52367039556157 53.450037777621326, -113.5235111245236 53.4500141487904, -113.52334943004088 53.44999737818565, -113.5225621199088 53.44993287812227, -113.52213141942762 53.449897588483516, -113.52195766227932 53.4498814713599, -113.52178497314331 53.44986168292631, -113.52161357005504 53.44983824832286)))"
850,,Beverly Lions Playground,Active,Park,Pocket Park,4201 115 Avenue NW,2528,-113.40676715510138,53.56743334028394,"MULTIPOLYGON (((-113.40624539111288 53.56759809887143, -113.40728903490972 53.567597123454426, -113.4072887527764 53.56726858169646, -113.40624527529303 53.567269468956795, -113.40624539111288 53.56759809887143)))"
,,Blatchford Area Park 1,Partially Developed,Park,School and Community Park,,35935,-113.52167954855273,53.57045955431052,"MULTIPOLYGON (((-113.52356068489804 53.57088724730566, -113.52266097999647 53.57023315727731, -113.52294909663372 53.56997691629147, -113.52294589345468 53.56997595909361, -113.52293569361336 53.56997336011591, -113.52289970441 53.56996304987606, -113.52286451526179 53.56995180558059, -113.52286161179426 53.56995077678956, -113.52286004706396 53.569950309568924, -113.52285732349459 53.569949258131814, -113.52283019235742 53.56993964816191, -113.52279680336449 53.56992660125421, -113.52279528749507 53.56992595091403, -113.52278055103068 53.56991962262456, -113.52277332477856 53.56991651880218, -113.5227644129009 53.569912691175276, -113.52273308558426 53.569897944243046, -113.52270572336256 53.569883925709036, -113.52270123319862 53.56988143216213, -113.52269930993602 53.56988049623894, -113.52269678653853 53.56987896305069, -113.5226295693158 53.56983813671237, -113.52237775320715 53.56966700669094, -113.52237296415484 53.56966397996931, -113.52167761550554 53.5691925784352, -113.52161217786302 53.569148208278456, -113.5215748767082 53.56916769253737, -113.52125975943447 53.56933227591696, -113.52087801163721 53.5695316575466, -113.52070739096597 53.569620769902, -113.51980257936597 53.570093325481075, -113.5198016517178 53.57010178653334, -113.5197984122074 53.57013135890983, -113.51992781366451 53.57021914992049, -113.52009735745911 53.57033418192069, -113.52011726592568 53.57034768411268, -113.52076421032129 53.57078658002636, -113.52073960746534 53.570799426640555, -113.52100666419985 53.57095873986459, -113.52215523558681 53.57177090034258, -113.52332080699091 53.571075658241746, -113.52349872265786 53.57093591558906, -113.52356068489804 53.57088724730566)))"
